id,status,first_name,last_name,phone,email_address,address_line_one,address_line_two,city,state,zip
1,Active,Roger,Flack,862-287-1718,Roger_Flack96@1kmd3.space,159 Beaconsfield Grove,,Norfolk,South Dakota,60647
2,Inactive,Andie,Dann,567-165-0376,Andie_Dann1452@fhuux.us,1583 Blandford Grove,,Pittsburgh,North Dakota,60804
3,Cancelled,Matt,Yarlett,437-855-1523,Matt_Yarlett6948@nmz0p.website,2021 Maple Road,,Henderson,Illinois,60617
4,Active,Michelle,Young,533-402-0306,Michelle_Young2884@ptr6k.store,960 Sheffield Lane,,Omaha,Texas,60647
5,Inactive,Kimberly,Forester,757-013-5406,Kimberly_Forester3629@3wbkp.space,3702 Bazely Walk,,Escondido,Colorado,60804
6,Cancelled,Kurt,Brown,651-700-5244,Kurt_Brown2360@gnjps.host,5240 Walnut Road,,Innsbruck,Montana,60617
7,Active,Paige,Uddin,260-238-0568,Paige_Uddin7362@ohqqh.property,6654 Bloomsbury Street,,Paris,New York,60634
8,Inactive,Rachael,Simpson,511-781-2368,Rachael_Simpson9046@v1wn5.info,1288 Virginia Street,,Berna,Delaware,60608
9,Cancelled,Lindsay,Rogan,715-276-1628,Lindsay_Rogan6000@yahoo.auction,890 Camelot Crossroad,,Orlando,Illinois,60123
10,Active,Karla,Radley,816-4580521,Karla_Radley3763@cke3u.edu,1302 Berry Avenue,,San Francisco,Illinois,60625
11,Inactive,Lexi,Kirby,368-273-6178,Lexi_Kirby1398@ckzyi.audio,3859 Empress Walk,,Lakewood,Illinois,60647
12,Cancelled,Carl,Richards,683-801-7142,Carl_Richards9052@1kmd3.info,2877 Clissold Drive,,Phoenix,Minnesota,60804
13,Active,benny,mackenzie,3610780357,Benny_Mackenzie8085@1wa8o.info,8899 Durweston Lane,,Lyon,Illinois,60617
14,Inactive,Camellia,Jordan,357-614-6601,Camellia_Jordan2083@cke3u.tech,4445 Calvin Avenue,,Prague,Ohio,60645
15,Cancelled,Mackenzie,Lane,528-840-2053,Mackenzie_Lane5573@kyb7t.business,6493 Collingwood Lane,,Los Angeles,Nebraska,60608
16,Active,Zoe,Asher,184-604-7743,Zoe_Asher9937@ckzyi.online,6654 Tiptree Street,,Paris,Illinois,60586
17,Inactive,Johnny,Notman,232-032-4273,Johnny_Notman5397@yvu30.host,3294 Dyott Walk,,Detroit,Illinois,60625
